aircraft,system,cycle,value,source
DEMO-002,actuator,19,291.645,synthetic-v1
DEMO-002,actuator,20,295.17,synthetic-v1
DEMO-002,actuator,21,299.406,synthetic-v1
DEMO-002,actuator,22,303.57,synthetic-v1
DEMO-002,actuator,23,306.917,synthetic-v1
DEMO-002,actuator,24,309.094,synthetic-v1
DEMO-002,actuator,25,310.315,synthetic-v1
DEMO-002,actuator,26,311.256,synthetic-v1
DEMO-002,actuator,27,312.727,synthetic-v1
DEMO-002,actuator,28,315.284,synthetic-v1
DEMO-002,actuator,29,318.956,synthetic-v1
DEMO-002,actuator,30,323.235,synthetic-v1
DEMO-002,actuator,31,327.318,synthetic-v1
DEMO-002,actuator,32,330.498,synthetic-v1
DEMO-002,actuator,33,332.503,synthetic-v1
DEMO-002,actuator,34,333.631,synthetic-v1
DEMO-002,actuator,35,334.602,synthetic-v1
DEMO-002,actuator,36,336.212,synthetic-v1
DEMO-002,actuator,37,338.949,synthetic-v1
DEMO-002,actuator,38,342.756,synthetic-v1
DEMO-002,actuator,39,347.059,synthetic-v1
DEMO-002,actuator,40,351.044,synthetic-v1
DEMO-002,actuator,41,354.051,synthetic-v1
DEMO-002,actuator,42,355.892,synthetic-v1
DEMO-002,actuator,43,356.944,synthetic-v1
DEMO-002,actuator,44,357.963,synthetic-v1
DEMO-002,actuator,45,359.724,synthetic-v1
DEMO-002,actuator,46,362.639,synthetic-v1
DEMO-002,actuator,47,366.568,synthetic-v1
DEMO-002,actuator,48,370.875,synthetic-v1
DEMO-002,actuator,49,374.747,synthetic-v1
DEMO-002,actuator,50,377.576,synthetic-v1
DEMO-002,actuator,51,379.262,synthetic-v1
DEMO-002,actuator,52,380.256,synthetic-v1
DEMO-002,actuator,53,381.342,synthetic-v1
DEMO-002,actuator,54,383.262,synthetic-v1
DEMO-002,actuator,55,386.354,synthetic-v1
DEMO-002,actuator,56,390.388,synthetic-v1
DEMO-002,actuator,57,394.682,synthetic-v1
DEMO-002,actuator,58,398.425,synthetic-v1
DEMO-002,actuator,59,401.074,synthetic-v1
DEMO-002,actuator,60,402.616,synthetic-v1
DEMO-003,apu,1,30.455,synthetic-v1
DEMO-003,apu,2,30.579,synthetic-v1
DEMO-003,apu,3,30.756,synthetic-v1
DEMO-003,apu,4,31.052,synthetic-v1
DEMO-003,apu,5,31.474,synthetic-v1
DEMO-003,apu,6,31.967,synthetic-v1
DEMO-003,apu,7,32.444,synthetic-v1
DEMO-003,apu,8,32.824,synthetic-v1
DEMO-003,apu,9,33.073,synthetic-v1
DEMO-003,apu,10,33.222,synthetic-v1
DEMO-003,apu,11,33.348,synthetic-v1
DEMO-003,apu,12,33.54,synthetic-v1
DEMO-003,apu,13,33.856,synthetic-v1
DEMO-003,apu,14,34.293,synthetic-v1
DEMO-003,apu,15,34.79,synthetic-v1
DEMO-003,apu,16,35.257,synthetic-v1
DEMO-003,apu,17,35.618,synthetic-v1
DEMO-003,apu,18,35.848,synthetic-v1
DEMO-003,apu,19,35.988,synthetic-v1
DEMO-003,apu,20,36.118,synthetic-v1
DEMO-003,apu,21,36.327,synthetic-v1
DEMO-003,apu,22,36.663,synthetic-v1
DEMO-003,apu,23,37.114,synthetic-v1
DEMO-003,apu,24,37.612,synthetic-v1
DEMO-003,apu,25,38.067,synthetic-v1
DEMO-003,apu,26,38.408,synthetic-v1
DEMO-003,apu,27,38.621,synthetic-v1
DEMO-003,apu,28,38.753,synthetic-v1
DEMO-003,apu,29,38.891,synthetic-v1
DEMO-003,apu,30,39.117,synthetic-v1
DEMO-003,apu,31,39.472,synthetic-v1
DEMO-003,apu,32,39.936,synthetic-v1
DEMO-003,apu,33,40.433,synthetic-v1
DEMO-003,apu,34,40.874,synthetic-v1
DEMO-003,apu,35,41.196,synthetic-v1
DEMO-003,apu,36,41.392,synthetic-v1
DEMO-003,apu,37,41.519,synthetic-v1
DEMO-003,apu,38,41.665,synthetic-v1
DEMO-003,apu,39,41.91,synthetic-v1
DEMO-003,apu,40,42.284,synthetic-v1
DEMO-003,apu,41,42.759,synthetic-v1
DEMO-003,apu,42,43.253,synthetic-v1
DEMO-003,apu,43,43.679,synthetic-v1
DEMO-003,apu,44,43.98,synthetic-v1
DEMO-003,apu,45,44.162,synthetic-v1
DEMO-003,apu,46,44.285,synthetic-v1
DEMO-003,apu,47,44.442,synthetic-v1
DEMO-003,apu,48,44.705,synthetic-v1
DEMO-003,apu,49,45.099,synthetic-v1
DEMO-003,apu,50,45.582,synthetic-v1
DEMO-003,apu,51,46.071,synthetic-v1
DEMO-003,apu,52,46.481,synthetic-v1
DEMO-003,apu,53,46.762,synthetic-v1
DEMO-003,apu,54,46.93,synthetic-v1
DEMO-003,apu,55,47.052,synthetic-v1
DEMO-003,apu,56,47.221,synthetic-v1
DEMO-003,apu,57,47.504,synthetic-v1
DEMO-003,apu,58,47.915,synthetic-v1
DEMO-003,apu,59,48.405,synthetic-v1
DEMO-003,apu,60,48.888,synthetic-v1
DEMO-003,brakes,1,0.0,synthetic-v1
DEMO-003,brakes,2,0.0,synthetic-v1
DEMO-003,brakes,3,0.0,synthetic-v1
DEMO-003,brakes,4,0.0,synthetic-v1
DEMO-003,brakes,5,0.0,synthetic-v1
DEMO-003,brakes,6,0.0,synthetic-v1
DEMO-003,brakes,7,0.0,synthetic-v1
DEMO-003,brakes,8,0.0,synthetic-v1
DEMO-003,brakes,9,0.0,synthetic-v1
DEMO-003,brakes,10,0.0,synthetic-v1
DEMO-003,brakes,11,0.0,synthetic-v1
DEMO-003,brakes,12,0.0,synthetic-v1
DEMO-003,brakes,13,0.0,synthetic-v1
DEMO-003,brakes,14,0.079,synthetic-v1
DEMO-003,brakes,15,0.212,synthetic-v1
DEMO-003,brakes,16,0.3,synthetic-v1
DEMO-003,brakes,17,0.336,synthetic-v1
DEMO-003,brakes,18,0.341,synthetic-v1
DEMO-003,brakes,19,0.35,synthetic-v1
DEMO-003,brakes,20,0.396,synthetic-v1
DEMO-003,brakes,21,0.494,synthetic-v1
DEMO-003,brakes,22,0.634,synthetic-v1
DEMO-003,brakes,23,0.786,synthetic-v1
DEMO-003,brakes,24,0.914,synthetic-v1
DEMO-003,brakes,25,0.993,synthetic-v1
DEMO-003,brakes,26,1.023,synthetic-v1
DEMO-003,brakes,27,1.027,synthetic-v1
DEMO-003,brakes,28,1.039,synthetic-v1
DEMO-003,brakes,29,1.093,synthetic-v1
DEMO-003,brakes,30,1.198,synthetic-v1
DEMO-003,brakes,31,1.342,synthetic-v1
DEMO-003,brakes,32,1.493,synthetic-v1
DEMO-003,brakes,33,1.614,synthetic-v1
DEMO-003,brakes,34,1.685,synthetic-v1
DEMO-003,brakes,35,1.709,synthetic-v1
DEMO-003,brakes,36,1.712,synthetic-v1
DEMO-003,brakes,37,1.729,synthetic-v1
DEMO-003,brakes,38,1.79,synthetic-v1
DEMO-003,brakes,39,1.903,synthetic-v1
DEMO-003,brakes,40,2.05,synthetic-v1
DEMO-003,brakes,41,2.198,synthetic-v1
DEMO-003,brakes,42,2.313,synthetic-v1
DEMO-003,brakes,43,2.377,synthetic-v1
DEMO-003,brakes,44,2.395,synthetic-v1
DEMO-003,brakes,45,2.398,synthetic-v1
DEMO-003,brakes,46,2.42,synthetic-v1
DEMO-003,brakes,47,2.489,synthetic-v1
DEMO-003,brakes,48,2.609,synthetic-v1
DEMO-003,brakes,49,2.758,synthetic-v1
DEMO-003,brakes,50,2.904,synthetic-v1
DEMO-003,brakes,51,3.011,synthetic-v1
DEMO-003,brakes,52,3.067,synthetic-v1
DEMO-003,brakes,53,3.081,synthetic-v1
DEMO-003,brakes,54,3.084,synthetic-v1
DEMO-003,brakes,55,3.112,synthetic-v1
DEMO-003,brakes,56,3.189,synthetic-v1
DEMO-003,brakes,57,3.315,synthetic-v1
DEMO-003,brakes,58,3.466,synthetic-v1
DEMO-003,brakes,59,3.608,synthetic-v1
DEMO-003,brakes,60,3.708,synthetic-v1
DEMO-003,hydraulic,1,1.0,synthetic-v1
DEMO-003,hydraulic,2,1.0,synthetic-v1
DEMO-003,hydraulic,3,1.0,synthetic-v1
DEMO-003,hydraulic,4,1.0,synthetic-v1
DEMO-003,hydraulic,5,1.0,synthetic-v1
DEMO-003,hydraulic,6,1.0,synthetic-v1
DEMO-003,hydraulic,7,1.0,synthetic-v1
DEMO-003,hydraulic,8,1.0,synthetic-v1
DEMO-003,hydraulic,9,1.0,synthetic-v1
DEMO-003,hydraulic,10,1.0,synthetic-v1
DEMO-003,hydraulic,11,1.0,synthetic-v1
DEMO-003,hydraulic,12,1.0,synthetic-v1
DEMO-003,hydraulic,13,1.055,synthetic-v1
DEMO-003,hydraulic,14,1.122,synthetic-v1
DEMO-003,hydraulic,15,1.176,synthetic-v1
DEMO-003,hydraulic,16,1.213,synthetic-v1
DEMO-003,hydraulic,17,1.235,synthetic-v1
DEMO-003,hydraulic,18,1.255,synthetic-v1
DEMO-003,hydraulic,19,1.282,synthetic-v1
DEMO-003,hydraulic,20,1.326,synthetic-v1
DEMO-003,hydraulic,21,1.387,synthetic-v1
DEMO-003,hydraulic,22,1.455,synthetic-v1
DEMO-003,hydraulic,23,1.521,synthetic-v1
DEMO-003,hydraulic,24,1.572,synthetic-v1
DEMO-003,hydraulic,25,1.606,synthetic-v1
DEMO-003,hydraulic,26,1.628,synthetic-v1
DEMO-003,hydraulic,27,1.647,synthetic-v1
DEMO-003,hydraulic,28,1.677,synthetic-v1
DEMO-003,hydraulic,29,1.724,synthetic-v1
DEMO-003,hydraulic,30,1.786,synthetic-v1
DEMO-003,hydraulic,31,1.855,synthetic-v1
DEMO-003,hydraulic,32,1.919,synthetic-v1
DEMO-003,hydraulic,33,1.968,synthetic-v1
DEMO-003,hydraulic,34,1.999,synthetic-v1
DEMO-003,hydraulic,35,2.02,synthetic-v1
DEMO-003,hydraulic,36,2.04,synthetic-v1
DEMO-003,hydraulic,37,2.072,synthetic-v1
DEMO-003,hydraulic,38,2.122,synthetic-v1
DEMO-003,hydraulic,39,2.186,synthetic-v1
DEMO-003,hydraulic,40,2.255,synthetic-v1
DEMO-003,hydraulic,41,2.317,synthetic-v1
DEMO-003,hydraulic,42,2.363,synthetic-v1
DEMO-003,hydraulic,43,2.392,synthetic-v1
DEMO-003,hydraulic,44,2.412,synthetic-v1
DEMO-003,hydraulic,45,2.434,synthetic-v1
DEMO-003,hydraulic,46,2.468,synthetic-v1
DEMO-003,hydraulic,47,2.52,synthetic-v1
DEMO-003,hydraulic,48,2.585,synthetic-v1
DEMO-003,hydraulic,49,2.654,synthetic-v1
DEMO-003,hydraulic,50,2.714,synthetic-v1
DEMO-003,hydraulic,51,2.758,synthetic-v1
DEMO-003,hydraulic,52,2.785,synthetic-v1
DEMO-003,hydraulic,53,2.804,synthetic-v1
DEMO-003,hydraulic,54,2.827,synthetic-v1
DEMO-003,hydraulic,55,2.864,synthetic-v1
DEMO-003,hydraulic,56,2.918,synthetic-v1
DEMO-003,hydraulic,57,2.985,synthetic-v1
DEMO-003,hydraulic,58,3.053,synthetic-v1
DEMO-003,hydraulic,59,3.111,synthetic-v1
DEMO-003,hydraulic,60,3.152,synthetic-v1
DEMO-003,pack,1,3.322,synthetic-v1
DEMO-003,pack,2,3.406,synthetic-v1
DEMO-003,pack,3,3.528,synthetic-v1
DEMO-003,pack,4,3.661,synthetic-v1
DEMO-003,pack,5,3.777,synthetic-v1
DEMO-003,pack,6,3.853,synthetic-v1
DEMO-003,pack,7,3.887,synthetic-v1
DEMO-003,pack,8,3.897,synthetic-v1
DEMO-003,pack,9,3.912,synthetic-v1
DEMO-003,pack,10,3.96,synthetic-v1
DEMO-003,pack,11,4.051,synthetic-v1
DEMO-003,pack,12,4.176,synthetic-v1
DEMO-003,pack,13,4.309,synthetic-v1
DEMO-003,pack,14,4.419,synthetic-v1
DEMO-003,pack,15,4.489,synthetic-v1
DEMO-003,pack,16,4.518,synthetic-v1
DEMO-003,pack,17,4.527,synthetic-v1
DEMO-003,pack,18,4.545,synthetic-v1
DEMO-003,pack,19,4.599,synthetic-v1
DEMO-003,pack,20,4.697,synthetic-v1
DEMO-003,pack,21,4.824,synthetic-v1
DEMO-003,pack,22,4.956,synthetic-v1
DEMO-003,pack,23,5.061,synthetic-v1
DEMO-003,pack,24,5.124,synthetic-v1
DEMO-003,pack,25,5.148,synthetic-v1
DEMO-003,pack,26,5.156,synthetic-v1
DEMO-003,pack,27,5.179,synthetic-v1
DEMO-003,pack,28,5.24,synthetic-v1
DEMO-003,pack,29,5.343,synthetic-v1
DEMO-003,pack,30,5.473,synthetic-v1
DEMO-003,pack,31,5.602,synthetic-v1
DEMO-003,pack,32,5.701,synthetic-v1
DEMO-003,pack,33,5.758,synthetic-v1
DEMO-003,pack,34,5.778,synthetic-v1
DEMO-003,pack,35,5.786,synthetic-v1
DEMO-003,pack,36,5.814,synthetic-v1
DEMO-003,pack,37,5.881,synthetic-v1
DEMO-003,pack,38,5.99,synthetic-v1
DEMO-003,pack,39,6.122,synthetic-v1
DEMO-003,pack,40,6.248,synthetic-v1
DEMO-003,pack,41,6.341,synthetic-v1
DEMO-003,pack,42,6.391,synthetic-v1
DEMO-003,pack,43,6.407,synthetic-v1
DEMO-003,pack,44,6.417,synthetic-v1
DEMO-003,pack,45,6.449,synthetic-v1
DEMO-003,pack,46,6.523,synthetic-v1
DEMO-003,pack,47,6.637,synthetic-v1
DEMO-003,pack,48,6.77,synthetic-v1
DEMO-003,pack,49,6.893,synthetic-v1
DEMO-003,pack,50,6.98,synthetic-v1
DEMO-003,pack,51,7.023,synthetic-v1
DEMO-003,pack,52,7.037,synthetic-v1
DEMO-003,pack,53,7.048,synthetic-v1
DEMO-003,pack,54,7.086,synthetic-v1
DEMO-003,pack,55,7.166,synthetic-v1
DEMO-003,pack,56,7.285,synthetic-v1
DEMO-003,pack,57,7.418,synthetic-v1
DEMO-003,pack,58,7.537,synthetic-v1
DEMO-003,pack,59,7.617,synthetic-v1
DEMO-003,pack,60,7.655,synthetic-v1
DEMO-003,actuator,1,259.88,synthetic-v1
DEMO-003,actuator,2,264.507,synthetic-v1
DEMO-003,actuator,3,269.305,synthetic-v1
DEMO-003,actuator,4,273.475,synthetic-v1
DEMO-003,actuator,5,276.523,synthetic-v1
DEMO-003,actuator,6,278.496,synthetic-v1
DEMO-003,actuator,7,279.959,synthetic-v1
DEMO-003,actuator,8,281.727,synthetic-v1
DEMO-003,actuator,9,284.465,synthetic-v1
DEMO-003,actuator,10,288.369,synthetic-v1
DEMO-003,actuator,11,293.074,synthetic-v1
DEMO-003,actuator,12,297.826,synthetic-v1
DEMO-003,actuator,13,301.848,synthetic-v1
DEMO-003,actuator,14,304.716,synthetic-v1
DEMO-003,actuator,15,306.566,synthetic-v1
DEMO-003,actuator,16,308.022,synthetic-v1
DEMO-003,actuator,17,309.902,synthetic-v1
DEMO-003,actuator,18,312.817,synthetic-v1
DEMO-003,actuator,19,316.878,synthetic-v1
DEMO-003,actuator,20,321.643,synthetic-v1
DEMO-003,actuator,21,326.33,synthetic-v1
DEMO-003,actuator,22,330.193,synthetic-v1
DEMO-003,actuator,23,332.885,synthetic-v1
DEMO-003,actuator,24,334.626,synthetic-v1
DEMO-003,actuator,25,336.095,synthetic-v1
DEMO-003,actuator,26,338.101,synthetic-v1
DEMO-003,actuator,27,341.196,synthetic-v1
DEMO-003,actuator,28,345.403,synthetic-v1
DEMO-003,actuator,29,350.21,synthetic-v1
DEMO-003,actuator,30,354.814,synthetic-v1
DEMO-003,actuator,31,358.51,synthetic-v1
DEMO-003,actuator,32,361.031,synthetic-v1
DEMO-003,actuator,33,362.681,synthetic-v1
DEMO-003,actuator,34,364.18,synthetic-v1
DEMO-003,actuator,35,366.326,synthetic-v1
DEMO-003,actuator,36,369.601,synthetic-v1
DEMO-003,actuator,37,373.942,synthetic-v1
DEMO-003,actuator,38,378.773,synthetic-v1
DEMO-003,actuator,39,383.277,synthetic-v1
DEMO-003,actuator,40,386.799,synthetic-v1
DEMO-003,actuator,41,389.157,synthetic-v1
DEMO-003,actuator,42,390.731,synthetic-v1
DEMO-003,actuator,43,392.281,synthetic-v1
DEMO-003,actuator,44,394.578,synthetic-v1
DEMO-003,actuator,45,398.031,synthetic-v1
DEMO-003,actuator,46,402.493,synthetic-v1
DEMO-003,actuator,47,407.327,synthetic-v1
DEMO-003,actuator,48,411.717,synthetic-v1
DEMO-003,actuator,49,415.062,synthetic-v1
DEMO-003,actuator,50,417.265,synthetic-v1
DEMO-003,actuator,51,418.782,synthetic-v1
DEMO-003,actuator,52,420.399,synthetic-v1
DEMO-003,actuator,53,422.857,synthetic-v1
DEMO-003,actuator,54,426.486,synthetic-v1
DEMO-003,actuator,55,431.053,synthetic-v1
DEMO-003,actuator,56,435.871,synthetic-v1
DEMO-003,actuator,57,440.132,synthetic-v1
DEMO-003,actuator,58,443.297,synthetic-v1
DEMO-003,actuator,59,445.356,synthetic-v1
DEMO-003,actuator,60,446.834,synthetic-v1
DEMO-004,apu,1,31.915,synthetic-v1
DEMO-004,apu,2,32.152,synthetic-v1
DEMO-004,apu,3,32.508,synthetic-v1
DEMO-004,apu,4,32.989,synthetic-v1
DEMO-004,apu,5,33.541,synthetic-v1
DEMO-004,apu,6,34.076,synthetic-v1
DEMO-004,apu,7,34.513,synthetic-v1
DEMO-004,apu,8,34.82,synthetic-v1
DEMO-004,apu,9,35.026,synthetic-v1
DEMO-004,apu,10,35.211,synthetic-v1
DEMO-004,apu,11,35.463,synthetic-v1
DEMO-004,apu,12,35.838,synthetic-v1
DEMO-004,apu,13,36.335,synthetic-v1
DEMO-004,apu,14,36.89,synthetic-v1
DEMO-004,apu,15,37.415,synthetic-v1
DEMO-004,apu,16,37.833,synthetic-v1
DEMO-004,apu,17,38.121,synthetic-v1
DEMO-004,apu,18,38.318,synthetic-v1
DEMO-004,apu,19,38.508,synthetic-v1
DEMO-004,apu,20,38.776,synthetic-v1
DEMO-004,apu,21,39.172,synthetic-v1
DEMO-004,apu,22,39.682,synthetic-v1
DEMO-004,apu,23,40.239,synthetic-v1
DEMO-004,apu,24,40.751,synthetic-v1
DEMO-004,apu,25,41.15,synthetic-v1
DEMO-004,apu,26,41.42,synthetic-v1
DEMO-004,apu,27,41.611,synthetic-v1
DEMO-004,apu,28,41.807,synthetic-v1
DEMO-004,apu,29,42.092,synthetic-v1
DEMO-004,apu,30,42.508,synthetic-v1
DEMO-004,apu,31,43.031,synthetic-v1
DEMO-004,apu,32,43.587,synthetic-v1
DEMO-004,apu,33,44.085,synthetic-v1
DEMO-004,apu,34,44.464,synthetic-v1
DEMO-004,apu,35,44.718,synthetic-v1
DEMO-004,apu,36,44.903,synthetic-v1
DEMO-004,apu,37,45.108,synthetic-v1
DEMO-004,apu,38,45.412,synthetic-v1
DEMO-004,apu,39,45.847,synthetic-v1
DEMO-004,apu,40,46.38,synthetic-v1
DEMO-004,apu,41,46.933,synthetic-v1
DEMO-004,apu,42,47.416,synthetic-v1
DEMO-004,apu,43,47.775,synthetic-v1
DEMO-004,apu,44,48.014,synthetic-v1
DEMO-004,apu,45,48.196,synthetic-v1
DEMO-004,apu,46,48.411,synthetic-v1
DEMO-004,apu,47,48.735,synthetic-v1
DEMO-004,apu,48,49.188,synthetic-v1
DEMO-004,apu,49,49.73,synthetic-v1
DEMO-004,apu,50,50.277,synthetic-v1
DEMO-004,apu,51,50.744,synthetic-v1
DEMO-004,apu,52,51.083,synthetic-v1
DEMO-004,apu,53,51.308,synthetic-v1
DEMO-004,apu,54,51.489,synthetic-v1
DEMO-004,apu,55,51.717,synthetic-v1
DEMO-004,apu,56,52.06,synthetic-v1
DEMO-004,apu,57,52.531,synthetic-v1
DEMO-004,apu,58,53.08,synthetic-v1
DEMO-004,apu,59,53.62,synthetic-v1
DEMO-004,apu,60,54.069,synthetic-v1
DEMO-004,brakes,1,0.0,synthetic-v1
DEMO-004,brakes,2,0.0,synthetic-v1
DEMO-004,brakes,3,0.0,synthetic-v1
DEMO-004,brakes,4,0.024,synthetic-v1
DEMO-004,brakes,5,0.186,synthetic-v1
DEMO-004,brakes,6,0.304,synthetic-v1
DEMO-004,brakes,7,0.37,synthetic-v1
DEMO-004,brakes,8,0.401,synthetic-v1
DEMO-004,brakes,9,0.431,synthetic-v1
DEMO-004,brakes,10,0.494,synthetic-v1
DEMO-004,brakes,11,0.608,synthetic-v1
DEMO-004,brakes,12,0.767,synthetic-v1
DEMO-004,brakes,13,0.943,synthetic-v1
DEMO-004,brakes,14,1.099,synthetic-v1
DEMO-004,brakes,15,1.209,synthetic-v1
DEMO-004,brakes,16,1.269,synthetic-v1
DEMO-004,brakes,17,1.297,synthetic-v1
DEMO-004,brakes,18,1.33,synthetic-v1
DEMO-004,brakes,19,1.399,synthetic-v1
DEMO-004,brakes,20,1.521,synthetic-v1
DEMO-004,brakes,21,1.685,synthetic-v1
DEMO-004,brakes,22,1.86,synthetic-v1
DEMO-004,brakes,23,2.011,synthetic-v1
DEMO-004,brakes,24,2.113,synthetic-v1
DEMO-004,brakes,25,2.166,synthetic-v1
DEMO-004,brakes,26,2.193,synthetic-v1
DEMO-004,brakes,27,2.229,synthetic-v1
DEMO-004,brakes,28,2.306,synthetic-v1
DEMO-004,brakes,29,2.436,synthetic-v1
DEMO-004,brakes,30,2.604,synthetic-v1
DEMO-004,brakes,31,2.777,synthetic-v1
DEMO-004,brakes,32,2.922,synthetic-v1
DEMO-004,brakes,33,3.016,synthetic-v1
DEMO-004,brakes,34,3.063,synthetic-v1
DEMO-004,brakes,35,3.089,synthetic-v1
DEMO-004,brakes,36,3.13,synthetic-v1
DEMO-004,brakes,37,3.215,synthetic-v1
DEMO-004,brakes,38,3.351,synthetic-v1
DEMO-004,brakes,39,3.522,synthetic-v1
DEMO-004,brakes,40,3.694,synthetic-v1
DEMO-004,brakes,41,3.831,synthetic-v1
DEMO-004,brakes,42,3.918,synthetic-v1
DEMO-004,brakes,43,3.959,synthetic-v1
DEMO-004,brakes,44,3.985,synthetic-v1
DEMO-004,brakes,45,4.031,synthetic-v1
DEMO-004,brakes,46,4.124,synthetic-v1
DEMO-004,brakes,47,4.268,synthetic-v1
DEMO-004,brakes,48,4.441,synthetic-v1
DEMO-004,brakes,49,4.609,synthetic-v1
DEMO-004,brakes,50,4.74,synthetic-v1
DEMO-004,brakes,51,4.818,synthetic-v1
DEMO-004,brakes,52,4.855,synthetic-v1
DEMO-004,brakes,53,4.882,synthetic-v1
DEMO-004,brakes,54,4.934,synthetic-v1
DEMO-004,brakes,55,5.035,synthetic-v1
DEMO-004,brakes,56,5.185,synthetic-v1
DEMO-004,brakes,57,5.36,synthetic-v1
DEMO-004,brakes,58,5.524,synthetic-v1
DEMO-004,brakes,59,5.647,synthetic-v1
DEMO-004,brakes,60,5.718,synthetic-v1
DEMO-004,hydraulic,1,2.702,synthetic-v1
DEMO-004,hydraulic,2,2.732,synthetic-v1
DEMO-004,hydraulic,3,2.774,synthetic-v1
DEMO-004,hydraulic,4,2.815,synthetic-v1
DEMO-004,hydraulic,5,2.846,synthetic-v1
DEMO-004,hydraulic,6,2.859,synthetic-v1
DEMO-004,hydraulic,7,2.857,synthetic-v1
DEMO-004,hydraulic,8,2.85,synthetic-v1
DEMO-004,hydraulic,9,2.85,synthetic-v1
DEMO-004,hydraulic,10,2.865,synthetic-v1
DEMO-004,hydraulic,11,2.897,synthetic-v1
DEMO-004,hydraulic,12,2.94,synthetic-v1
DEMO-004,hydraulic,13,2.98,synthetic-v1
DEMO-004,hydraulic,14,3.008,synthetic-v1
DEMO-004,hydraulic,15,3.018,synthetic-v1
DEMO-004,hydraulic,16,3.015,synthetic-v1
DEMO-004,hydraulic,17,3.008,synthetic-v1
DEMO-004,hydraulic,18,3.01,synthetic-v1
DEMO-004,hydraulic,19,3.028,synthetic-v1
DEMO-004,hydraulic,20,3.063,synthetic-v1
DEMO-004,hydraulic,21,3.106,synthetic-v1
DEMO-004,hydraulic,22,3.145,synthetic-v1
DEMO-004,hydraulic,23,3.17,synthetic-v1
DEMO-004,hydraulic,24,3.178,synthetic-v1
DEMO-004,hydraulic,25,3.173,synthetic-v1
DEMO-004,hydraulic,26,3.167,synthetic-v1
DEMO-004,hydraulic,27,3.171,synthetic-v1
DEMO-004,hydraulic,28,3.192,synthetic-v1
DEMO-004,hydraulic,29,3.228,synthetic-v1
DEMO-004,hydraulic,30,3.271,synthetic-v1
DEMO-004,hydraulic,31,3.309,synthetic-v1
DEMO-004,hydraulic,32,3.331,synthetic-v1
DEMO-004,hydraulic,33,3.337,synthetic-v1
DEMO-004,hydraulic,34,3.331,synthetic-v1
DEMO-004,hydraulic,35,3.326,synthetic-v1
DEMO-004,hydraulic,36,3.332,synthetic-v1
DEMO-004,hydraulic,37,3.356,synthetic-v1
DEMO-004,hydraulic,38,3.394,synthetic-v1
DEMO-004,hydraulic,39,3.437,synthetic-v1
DEMO-004,hydraulic,40,3.473,synthetic-v1
DEMO-004,hydraulic,41,3.493,synthetic-v1
DEMO-004,hydraulic,42,3.496,synthetic-v1
DEMO-004,hydraulic,43,3.49,synthetic-v1
DEMO-004,hydraulic,44,3.485,synthetic-v1
DEMO-004,hydraulic,45,3.494,synthetic-v1
DEMO-004,hydraulic,46,3.52,synthetic-v1
DEMO-004,hydraulic,47,3.56,synthetic-v1
DEMO-004,hydraulic,48,3.602,synthetic-v1
DEMO-004,hydraulic,49,3.636,synthetic-v1
DEMO-004,hydraulic,50,3.653,synthetic-v1
DEMO-004,hydraulic,51,3.655,synthetic-v1
DEMO-004,hydraulic,52,3.648,synthetic-v1
DEMO-004,hydraulic,53,3.645,synthetic-v1
DEMO-004,hydraulic,54,3.656,synthetic-v1
DEMO-004,hydraulic,55,3.685,synthetic-v1
DEMO-004,hydraulic,56,3.725,synthetic-v1
DEMO-004,hydraulic,57,3.767,synthetic-v1
DEMO-004,hydraulic,58,3.799,synthetic-v1
DEMO-004,hydraulic,59,3.814,synthetic-v1
DEMO-004,hydraulic,60,3.813,synthetic-v1
DEMO-004,pack,1,3.912,synthetic-v1
DEMO-004,pack,2,4.063,synthetic-v1
DEMO-004,pack,3,4.209,synthetic-v1
DEMO-004,pack,4,4.322,synthetic-v1
DEMO-004,pack,5,4.392,synthetic-v1
DEMO-004,pack,6,4.428,synthetic-v1
DEMO-004,pack,7,4.457,synthetic-v1
DEMO-004,pack,8,4.508,synthetic-v1
DEMO-004,pack,9,4.601,synthetic-v1
DEMO-004,pack,10,4.735,synthetic-v1
DEMO-004,pack,11,4.887,synthetic-v1
DEMO-004,pack,12,5.029,synthetic-v1
DEMO-004,pack,13,5.136,synthetic-v1
DEMO-004,pack,14,5.2,synthetic-v1
DEMO-004,pack,15,5.233,synthetic-v1
DEMO-004,pack,16,5.263,synthetic-v1
DEMO-004,pack,17,5.32,synthetic-v1
DEMO-004,pack,18,5.42,synthetic-v1
DEMO-004,pack,19,5.558,synthetic-v1
DEMO-004,pack,20,5.711,synthetic-v1
DEMO-004,pack,21,5.849,synthetic-v1
DEMO-004,pack,22,5.949,synthetic-v1
DEMO-004,pack,23,6.007,synthetic-v1
DEMO-004,pack,24,6.038,synthetic-v1
DEMO-004,pack,25,6.071,synthetic-v1
DEMO-004,pack,26,6.133,synthetic-v1
DEMO-004,pack,27,6.24,synthetic-v1
DEMO-004,pack,28,6.381,synthetic-v1
DEMO-004,pack,29,6.534,synthetic-v1
DEMO-004,pack,30,6.668,synthetic-v1
DEMO-004,pack,31,6.761,synthetic-v1
DEMO-004,pack,32,6.813,synthetic-v1
DEMO-004,pack,33,6.843,synthetic-v1
DEMO-004,pack,34,6.878,synthetic-v1
DEMO-004,pack,35,6.948,synthetic-v1
DEMO-004,pack,36,7.06,synthetic-v1
